(8728,(2021,01,22,18,25,14),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,14),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,14),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,14),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,14),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,14),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,14),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,37),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,37),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,37),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,37),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,37),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,37),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
(8728,(2021,01,22,18,25,37),-1,[(,450000,,,[('force', 0)]),(,397000,,.,[('force', 0)])])
